H_bath_mm,f_lens_mm,H_total_mm,z_focus_mm,max_p_bath,max_p_petri,focus_below_petri_mm,dofs,solve_time_s,status
3.000000,2.000000,5.000000,1.302605,0.235909,0.163042,1.697395,223925,20.964939,OK
3.000000,3.000000,5.000000,nan,nan,nan,nan,0,0,SKIPPED (f>=H_bath)
3.000000,4.000000,5.000000,nan,nan,nan,nan,0,0,SKIPPED (f>=H_bath)
3.000000,5.000000,5.000000,nan,nan,nan,nan,0,0,SKIPPED (f>=H_bath)
3.000000,6.000000,5.000000,nan,nan,nan,nan,0,0,SKIPPED (f>=H_bath)
4.000000,2.000000,6.000000,1.178357,0.253294,0.121878,2.821643,274625,31.746214,OK
4.000000,3.000000,6.000000,1.178357,0.173658,0.083117,2.821643,274625,38.317261,OK
4.000000,4.000000,6.000000,nan,nan,nan,nan,0,0,SKIPPED (f>=H_bath)
4.000000,5.000000,6.000000,nan,nan,nan,nan,0,0,SKIPPED (f>=H_bath)
4.000000,6.000000,6.000000,nan,nan,nan,nan,0,0,SKIPPED (f>=H_bath)
5.000000,2.000000,7.000000,1.472946,0.384234,0.171857,3.527054,316875,43.947901,OK
5.000000,3.000000,7.000000,1.472946,0.269240,0.118010,3.527054,316875,39.439977,OK
5.000000,4.000000,7.000000,1.472946,0.205695,0.088986,3.527054,316875,44.942090,OK
5.000000,5.000000,7.000000,nan,nan,nan,nan,0,0,SKIPPED (f>=H_bath)
5.000000,6.000000,7.000000,nan,nan,nan,nan,0,0,SKIPPED (f>=H_bath)
6.000000,2.000000,8.000000,1.362725,0.240675,0.102033,4.637275,367575,46.634267,OK
6.000000,3.000000,8.000000,1.362725,0.172285,0.071212,4.637275,367575,49.484343,OK
6.000000,4.000000,8.000000,1.362725,0.132861,0.054648,4.637275,367575,46.656763,OK
6.000000,5.000000,8.000000,1.362725,0.107808,0.044544,4.637275,367575,48.012469,OK
6.000000,6.000000,8.000000,nan,nan,nan,nan,0,0,SKIPPED (f>=H_bath)
7.000000,2.000000,9.000000,1.172345,0.241100,0.078803,5.827655,409825,58.607537,OK
7.000000,3.000000,9.000000,1.172345,0.166260,0.053634,5.827655,409825,57.593325,OK
7.000000,4.000000,9.000000,1.172345,0.126058,0.040253,5.827655,409825,56.439274,OK
7.000000,5.000000,9.000000,1.280561,0.101407,0.032174,5.719439,409825,55.142567,OK
7.000000,6.000000,9.000000,1.280561,0.084752,0.026870,5.719439,409825,55.784883,OK
