epl,dofs,mesh_nx,solve_time_s,total_wall_time_s,max_p_Pa,eps_L2_roi,spacing_err_pct,n_traps,n_matched,n_unmatched_cur,n_unmatched_ref,mean_trap_err_m,max_trap_err_m,cl_spacing_m,cl_n_min,physical_size_mm,pml_n_wavelengths_xy,name
2.0,68921,20,3.851388931274414,3.980672836303711,146.38754254042502,2.0092502151332803,77.77777777777783,16,6,10,13,8.980967272430517e-05,0.00010806350783547506,0.000642140468227425,2,3.0,1.0,conv_epl2.0_convergence_phys3.0mm_20260323_175516
2.0,68921,20,3.788125991821289,3.9271061420440674,146.38754254049275,2.0092502151335294,77.77777777777783,16,6,10,13,8.980967272430517e-05,0.00010806350783547506,0.000642140468227425,2,3.0,1.0,conv_epl2.0_convergence_phys3.0mm_20260323_190719
3.0,102541,20,6.10787034034729,6.323453664779663,104.60139113885285,0.8481929868998671,108.33333333333333,21,11,10,8,0.00011082653181827316,0.00015315388818535542,0.0007525083612040134,2,3.0,1.0,conv_epl3.0_convergence_phys3.0mm_20260323_175524
3.0,102541,20,6.692688465118408,6.8933329582214355,104.60139113884951,0.8481929868999238,108.33333333333333,21,11,10,8,0.00011082653181827316,0.00015315388818535542,0.0007525083612040134,2,3.0,1.0,conv_epl3.0_convergence_phys3.0mm_20260323_190726
3.5,143775,22,9.405182361602783,9.651879787445068,101.02802556823754,0.6949384342986613,8.33333333333332,22,15,7,4,5.859707688998733e-05,0.0001397497151556932,0.0003913043478260869,3,3.0,1.0,conv_epl3.5_convergence_phys3.0mm_20260323_175533
3.5,143775,22,9.720777988433838,10.014084815979004,101.0280255682513,0.6949384342983147,8.33333333333332,22,15,7,4,5.859707688998733e-05,0.0001397497151556932,0.0003913043478260869,3,3.0,1.0,conv_epl3.5_convergence_phys3.0mm_20260323_190737
4.0,210681,25,15.98511815071106,16.334206342697144,85.27622957608288,0.6811412496037934,4.629629629629621,25,19,6,0,3.8600070473535824e-05,0.00010665698139867556,0.00037792642140468225,4,3.0,1.0,conv_epl4.0_convergence_phys3.0mm_20260323_175547
4.0,210681,25,18.65631866455078,19.0913724899292,85.27622957608405,0.6811412496036278,4.629629629629621,25,19,6,0,3.8600070473535824e-05,0.00010665698139867556,0.00037792642140468225,4,3.0,1.0,conv_epl4.0_convergence_phys3.0mm_20260323_190750
4.5,295659,28,31.69589328765869,32.28374218940735,80.8645613996876,0.11832134343728408,1.3888888888888968,21,18,3,1,4.3967743553362254e-05,0.00014260204418279498,0.0003662207357859532,5,3.0,1.0,conv_epl4.5_convergence_phys3.0mm_20260323_175607
4.5,295659,28,31.53310251235962,32.150994300842285,80.86456139968372,0.11832134343746727,1.3888888888888968,21,18,3,1,4.3967743553362254e-05,0.00014260204418279498,0.0003662207357859532,5,3.0,1.0,conv_epl4.5_convergence_phys3.0mm_20260323_190813
5.0,400869,31,39.67816376686096,40.58033728599548,82.39847349583403,,,19,19,0,0,,,0.00036120401337792643,5,3.0,1.0,conv_epl5.0_convergence_phys3.0mm_20260323_190626
