run_id,timestamp,mode,physical_size_mm,requested_epl,mesh_nx,mesh_ny,mesh_nz,dofs,mesh_time_s,solve_time_s,total_wall_time_s,mumps_out_of_core,mumps_mem_mb,max_p_Pa,z_star_mm,wavelength_mm,n_traps_roi,first_centreline_min_x_mm,centreline_min_spacing_mm,eps_L2_full,eps_L2_roi,eps_gorkov_roi,trap_spacing_err_pct,n_matched_traps,n_unmatched_current,n_unmatched_reference,mean_trap_error_m,max_trap_error_m,trap_pos_err_m,trap_pos_err_pct_halfwav,pml_n_wavelengths_xy,pml_n_wavelengths_z,pml_sigma_max_factor,npz_path
conv_epl5.0_convergence_phys3.0mm_20260323_190626,20260323_190626,convergence,3.0,5.0,31,31,50,400869,0.38,39.68,40.58,1,20000,82.3985,6.1726,0.6902,19,1.4628,0.3612,,,,,0,0,0,,,,,1.0,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl5.0_convergence_phys3.0mm_20260323_190626.npz
conv_epl2.0_convergence_phys3.0mm_20260323_190719,20260323_190719,convergence,3.0,2.0,20,20,20,68921,0.06,3.79,3.93,1,20000,146.3875,6.1726,0.6902,16,1.8641,0.6421,1.830059e+00,2.009250e+00,2.986921e+00,77.7778,6,10,13,8.980967e-05,1.080635e-04,4.013378e-04,116.2906,1.0,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl2.0_convergence_phys3.0mm_20260323_190719.npz
conv_epl3.0_convergence_phys3.0mm_20260323_190726,20260323_190726,convergence,3.0,3.0,20,20,30,102541,0.09,6.69,6.89,1,20000,104.6014,6.1726,0.6902,21,1.7939,0.7525,8.528470e-01,8.481930e-01,4.430183e-01,108.3333,11,10,8,1.108265e-04,1.531539e-04,3.311037e-04,95.9397,1.0,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl3.0_convergence_phys3.0mm_20260323_190726.npz
conv_epl3.5_convergence_phys3.0mm_20260323_190737,20260323_190737,convergence,3.0,3.5,22,22,35,143775,0.13,9.72,10.01,1,20000,101.028,6.1726,0.6902,22,1.7939,0.3913,6.803157e-01,6.949384e-01,4.170621e-01,8.3333,15,7,4,5.859708e-05,1.397497e-04,3.311037e-04,95.9397,1.0,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl3.5_convergence_phys3.0mm_20260323_190737.npz
conv_epl4.0_convergence_phys3.0mm_20260323_190750,20260323_190750,convergence,3.0,4.0,25,25,40,210681,0.19,18.66,19.09,1,20000,85.2762,6.1726,0.6902,25,1.4427,0.3779,6.842182e-01,6.811412e-01,3.909518e-01,4.6296,19,6,0,3.860007e-05,1.066570e-04,2.006689e-05,5.8145,1.0,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl4.0_convergence_phys3.0mm_20260323_190750.npz
conv_epl4.5_convergence_phys3.0mm_20260323_190813,20260323_190813,convergence,3.0,4.5,28,28,45,295659,0.28,31.53,32.15,1,20000,80.8646,6.1726,0.6902,21,1.4528,0.3662,1.484195e-01,1.183213e-01,8.261887e-02,1.3889,18,3,1,4.396774e-05,1.426020e-04,1.003344e-05,2.9073,1.0,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl4.5_convergence_phys3.0mm_20260323_190813.npz
conv_epl5.0_convergence_phys3.0mm_20260323_190901,20260323_190901,convergence,3.0,5.0,36,36,50,538229,0.54,81.02,82.68,1,20000,84.482,6.1726,0.6902,23,1.7879,0.3712,,,,,0,0,0,,,,,1.5,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl5.0_convergence_phys3.0mm_20260323_190901.npz
conv_epl5.0_convergence_phys3.0mm_20260323_191028,20260323_191028,convergence,3.0,5.0,41,41,50,695789,0.72,137.48,139.58,1,20000,65.1502,6.1726,0.6902,25,2.1530,0.3637,,,,,0,0,0,,,,,2.0,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl5.0_convergence_phys3.0mm_20260323_191028.npz
conv_epl4.0_convergence_phys4.0mm_20260323_191301,20260323_191301,convergence,4.0,4.0,31,31,40,321489,0.31,33.43,34.14,1,20000,161.0246,6.1726,0.6902,48,2.0013,0.3378,,,,,0,0,0,,,,,1.0,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl4.0_convergence_phys4.0mm_20260323_191301.npz
conv_epl5.0_convergence_phys4.0mm_20260323_191345,20260323_191345,convergence,4.0,5.0,38,38,50,598829,0.61,91.3,92.64,1,20000,107.4335,6.1726,0.6902,47,1.9745,0.3545,,,,,0,0,0,,,,,1.0,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl5.0_convergence_phys4.0mm_20260323_191345.npz
