step_idx,particle_x,particle_y,target_x,target_y,tracking_error,chosen_action,action_switched,Fp_x,Fp_y,Fp_mag,Fp_hat_dot_d,Fp_dot_d,score,solver_time_ms,n_actions_evaluated,target_idx,dist_to_target,target_advanced,gates_active,cross_track_error,arc_progress,d_hat_x,d_hat_y,tangent_alignment
0,0.0013254582523174764,0.0011290435509611857,0.0014,0.0011,7.999999999999994e-05,TOGGLE_B_OFF,False,-2.9395811136038333e-09,1.145343066560645e-09,3.1548292923032926e-09,0.36304427193873,1.1453430665594997e-09,0.3641896150052895,51.186561584472656,37,1,7.999999999999994e-05,True,ACD,-7.324840956166544e-05,3.560127307701561e-05,1.6263032587266304e-19,0.999999999999,0.4444286075752249
1,0.0013266688790859306,0.001132202270618428,0.0013999506529926643,0.0011062829269247283,7.77305008631089e-05,TOGGLE_A_OFF,True,2.2819776972086715e-11,5.954046281965382e-11,6.376369604903999e-11,0.8983434259261147,5.7282595501831976e-11,0.8484007085216165,48.9349365234375,37,2,7.77305008631089e-05,True,CD,-7.174774517721772e-05,3.930409958282424e-05,-0.08866684420635176,0.9960613388423859,0.8941544017403918
2,0.0013265750864118254,0.0011343361861959136,0.0013998026241462927,0.0011125643036312513,7.639559642454716e-05,NARROW,True,-1.7679502555754802e-12,4.022336100965963e-11,4.02621959040934e-11,0.9985110723078008,4.0203246916735354e-11,0.9485512755547175,51.23591423034668,37,3,7.639559642454716e-05,True,CD,-7.162481709579267e-05,4.190215044635452e-05,-0.09788799965724575,0.9951974374570619,0.9981504030178285
3,0.0013263734925816858,0.0011391515752226934,0.0013995559499847881,0.001118842580283857,7.594818856946206e-05,MOVE_C_DOWN,True,-3.799954174653883e-12,9.07679447442515e-11,9.084745150429351e-11,0.9980239856762655,9.066893366283193e-11,0.9481146546099283,48.17819595336914,37,4,7.594818856946206e-05,True,CD,-7.128659518908286e-05,4.7755569175170136e-05,-0.10435019010657043,0.9945406164771364,0.9969945907477396
4,0.0013260317085743347,0.0011482166218770202,0.0013992106913713086,0.0011251162078117255,7.673846918715456e-05,MOVE_C_DOWN,False,-6.442476759651221e-12,1.7087210384209089e-10,1.7099351267875906e-10,0.9966757461221656,1.704260835068983e-10,0.9968461722056725,48.83909225463867,37,5,7.673846918715456e-05,True,CD,-7.042221309510037e-05,5.873004763281612e-05,-0.11889316222523494,0.9929070530387444,0.9940501947131997
5,0.0013253483422061237,0.0011617551773682384,0.0013987669334932513,0.001131383638291138,7.945262697040369e-05,MOVE_C_DOWN,False,-1.2881152572491777e-11,2.5519575882857286e-10,2.5552064381510735e-10,0.9953742691337452,2.543396694603157e-10,0.9956286088032055,48.5684871673584,37,6,7.945262697040369e-05,True,CD,-6.884256658191176e-05,7.503238354219706e-05,-0.1460891573769529,0.9892714279179864,0.9906099170906455
6,0.001324232466013342,0.0011782927099911941,0.001398224785841232,0.0011376433253274059,8.442295817523448e-05,MOVE_C_DOWN,False,-2.1033770697356408e-11,3.117251459806775e-10,3.1243397085852184e-10,0.9928053166861788,3.1018710018703184e-10,0.9931155037863658,49.247026443481445,37,7,8.442295817523448e-05,True,CD,-6.64487438865533e-05,9.477412786523145e-05,-0.18627992725729695,0.9824967118006126,0.9856587593591024
7,0.0013224643905058533,0.0011950673057580892,0.001397584382182072,0.0011438937244364182,9.089416138961193e-05,MOVE_C_DOWN,False,-3.332743815190962e-11,3.1619368096929327e-10,3.179452185812527e-10,0.9913341096692594,3.1519093151995397e-10,0.9916493006007794,48.23899269104004,37,8,9.089416138961193e-05,True,CD,-6.381392686725788e-05,0.00011467722241554506,-0.23453089287685977,0.9721086669114635,0.9835417443255277
8,0.0013200007204785915,0.0012112459525573992,0.0013968458805257912,0.0011501332934257217,9.818317436722216e-05,MOVE_C_DOWN,False,-4.643908595108908e-11,3.0496030757841975e-10,3.0847589517221116e-10,0.9908464374481575,3.0565323261645416e-10,0.9911520906807739,47.72067070007324,37,9,9.818317436722216e-05,True,CD,-6.121375017982105e-05,0.00013382933577127398,-0.2825981753932066,0.9592383808326429,0.983219239660051
9,0.0013169204158458955,0.0012256895514965698,0.001396009463086623,0.0011563604927750332,0.00010517412123074905,MOVE_C_DOWN,False,-5.8062374429376e-11,2.722554259121742e-10,2.7837790189416334e-10,0.9922844666302106,2.7623106018715365e-10,0.9925606976903978,47.719478607177734,37,10,0.00010517412123074905,True,CD,-5.906538260929821e-05,0.00015102758048036384,-0.3281927333502387,0.9446107821606204,0.9860125819815967
