step_idx,particle_x,particle_y,target_x,target_y,tracking_error,chosen_action,action_switched,Fp_x,Fp_y,Fp_mag,Fp_hat_dot_d,Fp_dot_d,score,solver_time_ms,n_actions_evaluated,target_idx,dist_to_target,target_advanced,gates_active,cross_track_error,arc_progress,d_hat_x,d_hat_y,tangent_alignment
0,0.0013254582523174764,0.0011290435509611857,0.0014,0.0011,7.999999999999994e-05,TOGGLE_B_OFF,False,-2.9395811136038333e-09,1.145343066560645e-09,3.1548292923032926e-09,0.36304427193873,1.1453430665594997e-09,0.3641896150052895,1393.7840461730957,13727,1,7.999999999999994e-05,True,ACD,-7.324840956166544e-05,3.560127307701561e-05,1.6263032587266304e-19,0.999999999999,0.4444286075752249
1,0.0013266688790859306,0.001132202270618428,0.0013999506529926643,0.0011062829269247283,7.77305008631089e-05,TOGGLE_A_OFF,True,2.2819776972086715e-11,5.954046281965382e-11,6.376369604903999e-11,0.8983434259261147,5.7282595501831976e-11,0.8484007085216165,1386.0135078430176,13727,2,7.77305008631089e-05,True,CD,-7.174774517721772e-05,3.930409958282424e-05,-0.08866684420635176,0.9960613388423859,0.8941544017403918
2,0.0013265750864118254,0.0011343361861959136,0.0013998026241462927,0.0011125643036312513,7.639559642454716e-05,NARROW,True,-1.7679502555754802e-12,4.022336100965963e-11,4.02621959040934e-11,0.9985110723078008,4.0203246916735354e-11,0.9485512755547175,1372.586727142334,13727,3,7.639559642454716e-05,True,CD,-7.162481709579267e-05,4.190215044635452e-05,-0.09788799965724575,0.9951974374570619,0.9981504030178285
3,0.00132648246900029,0.0011365485002676529,0.0013995559499847881,0.001118842580283857,7.518798591307257e-05,HOLD,True,-1.7457970780453466e-12,4.17011378112571e-11,4.173766527000724e-11,0.9980110598677981,4.165564956358719e-11,0.9480527155173617,3666.654586791992,13727,4,7.518798591307257e-05,True,CD,-7.147816596710067e-05,4.459285458688748e-05,-0.10435019010657043,0.9945406164771364,0.9975759677189698
4,0.0013263910381435908,0.0011388421771272189,0.0013992106913713086,0.0011251162078117255,7.410198465530419e-05,HOLD,False,-1.7234310463045038e-12,4.3234790230328676e-11,4.326912641632473e-11,0.9974271487070324,4.3158798815627614e-11,0.9974703075058481,1396.0309028625488,13727,5,7.410198465530419e-05,True,CD,-7.13058800275959e-05,4.7379188245812765e-05,-0.1110382523950289,0.9938161331469003,0.9969120628577567
5,0.0013263008055529847,0.0011412202929904035,0.0013987669334932513,0.001131383638291138,7.313070131160837e-05,HOLD,False,-1.7008442625780578e-12,4.482642795099784e-11,4.485868381987533e-11,0.9967547167315787,4.471410143854802e-11,0.9967994308330173,1365.9539222717285,13727,6,7.313070131160837e-05,True,CD,-7.110590114941043e-05,5.026417333534877e-05,-0.11795877408055001,0.9930184930883279,0.9961536855809866
6,0.0013262022007759279,0.0011436492403457657,0.001398224785841232,0.0011376433253274059,7.227256585106635e-05,HOLD,False,-1.858656259265033e-12,4.578457900537305e-11,4.582229018490185e-11,0.9963786437706181,4.565734772753998e-11,0.9964243011183457,1366.8789863586426,13727,7,7.227256585106635e-05,True,CD,-7.089039519664407e-05,5.3208086661516575e-05,-0.12511834800147292,0.9921418240309104,0.9957298329434253
7,0.001326093023333373,0.0011461226265253213,0.001397584382182072,0.0011438937244364182,7.152609589901688e-05,HOLD,False,-2.0579463088093172e-12,4.6622231107094723e-11,4.6667628784986413e-11,0.996047806377966,4.648418532795332e-11,0.9960942905632939,1332.2548866271973,13727,8,7.152609589901688e-05,True,CD,-7.066133457443236e-05,5.6203227203829634e-05,-0.13241748315866536,0.9911940325445489,0.9953575162071947
8,0.00132597301641902,0.0011486413613580986,0.0013968458805257912,0.0011501332934257217,7.088856556590252e-05,HOLD,False,-2.2620770430683653e-12,4.747703308196482e-11,4.753089166862704e-11,0.9956867437500733,4.73268744398165e-11,0.9957340706245131,1328.9425373077393,13727,9,7.088856556590252e-05,True,CD,-7.041785626632653e-05,5.925041100513688e-05,-0.13983629564519812,0.9901746363234258,0.9949524836192122
9,0.0013258419129835877,0.0011512063861280882,0.001396009463086623,0.0011563604927750332,7.035659104014384e-05,HOLD,False,-2.471241537687205e-12,4.834957784205248e-11,4.841269164426083e-11,0.9952934103474832,4.8185828264127816e-11,0.9953415961757474,1328.6902904510498,13727,10,7.035659104014384e-05,True,CD,-7.01590591859422e-05,6.235046359068461e-05,-0.1473759978647416,0.9890805403258986,0.9945125972882366
10,0.0013256994352174403,0.0011538186750814224,0.0013950753362380552,0.0011625737860160924,6.99261582664208e-05,HOLD,False,-2.6856426205717917e-12,4.924048670909083e-11,4.93136716097431e-11,0.9948656648161945,4.9061473556219386e-11,0.9949147262897508,1281.0373306274414,13727,11,6.99261582664208e-05,True,CD,-6.988400237419685e-05,6.55042196273841e-05,-0.1550377663334748,0.9879085438482282,0.9940356209007158
11,0.0013255452940030797,0.0011564792370196558,0.0013940437304619095,0.0011687716401117638,6.959266463560081e-05,HOLD,False,-2.905493439902219e-12,5.0150411037446506e-11,5.023450626167387e-11,0.9944012685623324,4.9954251153479496e-11,0.9944512228134859,1280.2603244781494,13727,12,6.959266463560081e-05,True,CD,-6.959170309770666e-05,6.871252253998793e-05,-0.1628227372994901,0.98665533810764,0.993519218304038
12,0.0013253791883354373,0.0011591891169849728,0.0013929149002914756,0.00117495252583429,6.935097294169488e-05,HOLD,False,-3.131018071108903e-12,5.108003394690192e-11,5.1175903921457636e-11,0.9938978842648049,5.0864616530759944e-11,0.9939487488813357,1253.3938884735107,13727,13,6.935097294169488e-05,True,CD,-6.928113484216123e-05,7.197622408147452e-05,-0.17073200208572645,0.9853175038848133,0.992960952038055
