step_idx,particle_x,particle_y,target_x,target_y,tracking_error,chosen_action,action_switched,Fp_x,Fp_y,Fp_mag,Fp_hat_dot_d,Fp_dot_d,score,solver_time_ms,n_actions_evaluated,target_idx,dist_to_target,target_advanced,gates_active,cross_track_error,arc_progress,d_hat_x,d_hat_y,tangent_alignment
0,0.0013254582523174764,0.0011290435509611857,0.0014,0.0011,7.999999999999994e-05,TOGGLE_B_OFF,False,-2.9395811136038333e-09,1.145343066560645e-09,3.1548292923032926e-09,0.36304427193872973,1.145343066559499e-09,0.36418961500528924,1785.2368354797363,13727,1,7.999999999999994e-05,True,ACD,-7.324840956166544e-05,3.560127307701561e-05,2.7105054312110504e-16,0.999999999999,0.4444286075752249
1,0.0013266688790859306,0.001132202270618428,0.0013999506529926643,0.0011062829269247283,7.77305008631089e-05,TOGGLE_A_OFF,True,2.2819776972086715e-11,5.954046281965382e-11,6.376369604903999e-11,0.9945885707550052,6.3419637908042e-11,0.9446519903929131,1742.3572540283203,13727,2,7.77305008631089e-05,True,CD,-7.174774517721772e-05,3.930409958282424e-05,0.25907778359185774,0.9658564603745489,0.8941544017403918
2,0.0013278825159717482,0.0011355152029607874,0.0013998026241462927,0.0011125643036312513,7.54933489777257e-05,TOGGLE_A_OFF,False,2.2876516347660995e-11,6.244730345158081e-11,6.650564418587807e-11,0.9944804974823649,6.613956059585465e-11,0.9945466370429608,1684.5614910125732,13727,3,7.54933489777257e-05,True,CD,-7.01996453590299e-05,4.315848066674001e-05,0.24369928452978545,0.9698508435413087,0.8964751889137347
3,0.0013290993228243944,0.0011389873062957751,0.0013995559499847881,0.001118842580283857,7.327991741885341e-05,TOGGLE_A_OFF,False,2.2936268814667294e-11,6.544760597821172e-11,6.935028158138893e-11,0.9942227386582148,6.89506211033055e-11,0.9942916892793181,1674.0288734436035,13727,4,7.327991741885341e-05,True,CD,-6.859937487132655e-05,4.7166842280611775e-05,0.22765389314119874,0.9737421141841245,0.8982632785677763
4,0.0013303194935521442,0.001142623573801152,0.0013992106913713086,0.0011251162078117255,7.10809749570655e-05,TOGGLE_A_OFF,False,2.2999676366541958e-11,6.854202768827369e-11,7.229795759622636e-11,0.9938049987104834,7.185106546068703e-11,0.9938768497759441,1632.2085857391357,13727,5,7.10809749570655e-05,True,CD,-6.694184161902409e-05,5.1331320338678835e-05,0.21090948187106162,0.9775055961246402,0.8995414032630797
5,0.0013315149118839434,0.0011463465784925181,0.0013987669334932513,0.001131383638291138,6.88964729867132e-05,TOGGLE_A_OFF,False,2.253310469488173e-11,7.017698512605904e-11,7.370583456262884e-11,0.9932624705938734,7.321023259733061e-11,0.9933356808264707,1635.077953338623,13727,6,6.88964729867132e-05,True,CD,-6.5261083619813e-05,5.5560851734744145e-05,0.19343299630385824,0.9811134877979281,0.9006239649649143
6,0.0013326823880848264,0.0011501500566912322,0.001398224785841232,0.0011376433253274059,6.672498956961918e-05,TOGGLE_A_OFF,False,2.2006407935608876e-11,7.169387500301208e-11,7.49952912066881e-11,0.9926376868339335,7.444414502453093e-11,0.992712130978958,3884.129047393799,13727,7,6.672498956961918e-05,True,CD,-6.355892116455698e-05,5.984721345838015e-05,0.17559489758998226,0.9844625091584049,0.9015583641889917
7,0.0013338208690016622,0.0011540338142248148,0.001397584382182072,0.0011438937244364182,6.456475070830081e-05,TOGGLE_A_OFF,False,2.1459859707502673e-11,7.320710481496195e-11,7.628765151749346e-11,0.9919247909411183,7.567260470766952e-11,0.9920004635458259,1658.177137374878,13727,8,6.456475070830081e-05,True,CD,-6.183432217224253e-05,6.418915397307072e-05,0.15742549224709498,0.9875308675625556,0.9023421456461513
8,0.0013349292901109037,0.0011579976740383928,0.0013968458805257912,0.0011501332934257217,6.241404209812002e-05,TOGGLE_A_OFF,False,2.089324568326289e-11,7.471699722117775e-11,7.758322878645014e-11,0.9911172094304848,7.689506433064275e-11,0.9911941044948154,1664.7663116455078,13727,9,6.241404209812002e-05,True,CD,-6.008624686833051e-05,6.858544280619185e-05,0.1389260321142185,0.9903027605732947,0.9029844706878336
9,0.0013360065745183947,0.0011620414850987823,0.001396009463086623,0.0011563604927750332,6.027122290375166e-05,TOGGLE_A_OFF,False,2.0306332682403967e-11,7.622404271894751e-11,7.888251920057067e-11,0.9902079529844559,7.81110880718071e-11,0.9902860640725276,1665.7593250274658,13727,10,6.027122290375166e-05,True,CD,-5.831364675649113e-05,7.303488018079298e-05,0.12009817078506055,0.9927620205125531,0.9034939269555985
